chr	start	end	CpG	2-O_S1_R1_001-N	2-O_S1_R1_001-X	2-R_S2_R1_001-N	2-R_S2_R1_001-X	4-LL_S4_R1_001-N	4-LL_S4_R1_001-X	4-L_S3_R1_001-N	4-L_S3_R1_001-X	5-O_S2_R1_001-N	5-O_S2_R1_001-X	5-RR_S8_R1_001-N	5-RR_S8_R1_001-X	5-R_S7_R1_001-N	5-R_S7_R1_001-X	6-LL_S6_R1_001-N	6-LL_S6_R1_001-X	6-L_S5_R1_001-N	6-L_S5_R1_001-X	7-L_S1_R1_001-N	7-L_S1_R1_001-X
chr10	4423906	4424026	12	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37	13	NA	NA	NA	NA	NA	NA
chr10	4522634	4522873	21	NA	NA	NA	NA	NA	NA	30	11	NA	NA	NA	NA	NA	NA	29	11	47	8	NA	NA
chr10	5184922	5185034	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	20
chr10	5713823	5713887	5	NA	NA	NA	NA	NA	NA	NA	NA	20	17	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	5815538	5815623	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	12	NA	NA	NA	NA
chr10	5957804	5958207	23	32	13	30	13	41	6	26	6	NA	NA	62	14	24	5	27	19	32	8	44	15
chr10	5959332	5959392	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	5
chr10	5998657	5998813	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	27	27
chr10	6012351	6012605	9	20	9	NA	NA	NA	NA	20	9	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	6055846	6055882	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	22	22	NA	NA	NA	NA
chr10	6220369	6220388	5	NA	NA	NA	NA	NA	NA	30	26	NA	NA	NA	NA	NA	NA	NA	NA	21	21	NA	NA
chr10	6503932	6504094	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	21	NA	NA	NA	NA
chr10	7382928	7383053	12	NA	NA	NA	NA	NA	NA	23	12	NA	NA	NA	NA	34	12	NA	NA	NA	NA	NA	NA
chr10	7512551	7512610	8	22	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	8481893	8482076	11	NA	NA	26	14	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	8577705	8578012	10	NA	NA	NA	NA	NA	NA	20	17	NA	NA	NA	NA	NA	NA	21	19	25	22	NA	NA
chr10	9394680	9394806	9	NA	NA	NA	NA	21	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	9620289	9620392	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	0	NA	NA
chr10	10801533	10801558	8	NA	NA	NA	NA	NA	NA	NA	NA	24	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	12642860	12642917	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	21	0
chr10	12683815	12683921	10	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	23	8	NA	NA	NA	NA	NA	NA
chr10	12684354	12684630	15	NA	NA	28	15	NA	NA	NA	NA	31	5	NA	NA	22	7	NA	NA	36	14	NA	NA
chr10	12728108	12728194	8	NA	NA	NA	NA	NA	NA	21	10	21	9	NA	NA	NA	NA	22	9	NA	NA	NA	NA
chr10	12728387	12728621	16	26	5	NA	NA	31	14	37	7	NA	NA	20	8	44	11	27	2	NA	NA	NA	NA
chr10	12810792	12810933	11	33	27	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	12847481	12847628	7	NA	NA	NA	NA	20	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	13809613	13809647	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	18	NA	NA	NA	NA	NA	NA	NA	NA
chr10	14287164	14287243	4	NA	NA	30	24	22	13	NA	NA	26	19	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	14467134	14467176	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	29	29	NA	NA
chr10	17443418	17443512	7	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	26	7
chr10	17443781	17443930	11	NA	NA	NA	NA	NA	NA	NA	NA	20	8	NA	NA	NA	NA	NA	NA	26	2	NA	NA
chr10	17444158	17444299	9	22	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	17516003	17516043	4	20	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	20	0	NA	NA	NA	NA
chr10	17742809	17742980	10	NA	NA	24	6	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	17775864	17775931	11	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	33	17	NA	NA	NA	NA	NA	NA	NA	NA
chr10	17776214	17776287	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	24	4	NA	NA	NA	NA	NA	NA	NA	NA
chr10	18127141	18127209	6	NA	NA	NA	NA	30	8	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	18251505	18251566	5	NA	NA	NA	NA	20	20	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
chr10	18734929	18734973	7	NA	NA	NA	NA	22	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
