chr	start	end	CpG	WJ1-N	WJ1-X	WJ2-N	WJ2-X	WJ3-N	WJ3-X	WJ5-N	WJ5-X	WJ7-N	WJ7-X
chr10	5957804	5957985	8	NA	NA	27	3	NA	NA	NA	NA	NA	NA
chr10	7400654	7400739	10	NA	NA	NA	NA	43	0	NA	NA	NA	NA
chr10	12683832	12683958	12	NA	NA	NA	NA	25	2	NA	NA	NA	NA
chr10	13044083	13044139	3	NA	NA	NA	NA	NA	NA	NA	NA	20	7
chr10	13751721	13751759	10	NA	NA	NA	NA	30	28	NA	NA	NA	NA
chr10	14264911	14264939	7	NA	NA	NA	NA	NA	NA	NA	NA	21	19
chr10	14287164	14287251	5	NA	NA	NA	NA	25	22	NA	NA	NA	NA
chr10	17877375	17877387	6	NA	NA	NA	NA	NA	NA	NA	NA	24	20
chr10	18037598	18037712	5	NA	NA	20	20	NA	NA	NA	NA	NA	NA
chr10	18038110	18038175	7	NA	NA	NA	NA	NA	NA	NA	NA	23	13
chr10	18734875	18735007	13	NA	NA	24	2	NA	NA	NA	NA	27	1
chr10	19077221	19077315	7	NA	NA	20	16	NA	NA	NA	NA	NA	NA
chr10	19890259	19890304	4	NA	NA	NA	NA	NA	NA	20	20	NA	NA
chr10	21870496	21870567	10	NA	NA	NA	NA	NA	NA	26	22	25	18
chr10	21878848	21878901	6	NA	NA	NA	NA	NA	NA	NA	NA	21	10
chr10	21993533	21993868	18	NA	NA	39	7	38	7	22	6	48	18
chr10	21993990	21994036	7	NA	NA	NA	NA	NA	NA	21	20	21	16
chr10	22836602	22836648	4	20	7	NA	NA	NA	NA	NA	NA	NA	NA
chr10	23069807	23069850	7	21	0	NA	NA	NA	NA	NA	NA	NA	NA
chr10	23614879	23614970	6	NA	NA	NA	NA	21	10	NA	NA	NA	NA
chr10	24590592	24590647	3	21	14	NA	NA	NA	NA	NA	NA	NA	NA
chr10	24920147	24920318	6	NA	NA	NA	NA	NA	NA	NA	NA	20	9
chr10	25178288	25178368	5	NA	NA	NA	NA	25	25	NA	NA	NA	NA
chr10	28332029	28332049	7	NA	NA	35	35	NA	NA	NA	NA	NA	NA
chr10	28917043	28917096	5	NA	NA	NA	NA	21	19	NA	NA	NA	NA
